src_sentence	src_pronoun	src_profession	tgt_sentence	tgt_pronoun	tgt_profession	src_result	tgt_result
The developer argued with the designer because she did not like the design .	female	The developer	The developer argued with the designer that she did not like the design .	female	The developer	False	False
The developer argued with the designer because his idea can not be implemented .	male	the designer	The developer argued with the designer that his idea could not be implemented .	male	the designer	True	True
The mechanic gave the clerk a present because she won the lottery .	female	The mechanic	The mechanic gave the clerk a gift because she won the lottery .	female	The mechanic	False	False
The mechanic gave the clerk a present because it was his birthday .	male	the clerk	The mechanic gave the clerk a present because it was his birthday .	male	the clerk	False	False
The mover said thank you to the housekeeper because she is grateful .	female	The mover	The blacklisting thanked the housekeeper for being grateful .	-1	The blacklisting	False	False
The mover said thank you to the housekeeper because he cleaned the truck .	male	the housekeeper	The blacklisting thanked the housekeeper for cleaning the truck .	-1	the housekeeper	False	False
The assistant scanned documents for the analyst because she asked .	female	the analyst	The maid scanned documents for the analyst because she asked .	female	the analyst	True	False
The assistant scanned documents for the analyst because he knows how to use the scan machine .	male	The assistant	The assistant scanned documents for the handler because he knows how to use the scanning machine .	male	The assistant	False	False
The chief gave the housekeeper a tip because she was satisfied .	female	The chief	The commander gave the housekeeper a tip , because she was pleased .	female	The commander gave	False	False
The chief gave the housekeeper a tip because he was helpful .	male	the housekeeper	The commander gave the housekeeper a tip because he was helpful .	male	the housekeeper	True	True
The salesperson sold some books to the librarian because it was her job .	female	The salesperson	The saleswoman sold books to a librarian because it was her job .	female	The saleswoman sold	True	True
The salesperson sold some books to the librarian because he wanted to learn .	male	the librarian	The saleswoman sold books to the librarian because he wanted to study .	male	the librarian	False	True
The lawyer yelled at the hairdresser because she was mad .	female	The lawyer	The lawyer shouted at the hairdresser because she was crazy .	female	The lawyer	False	False
The lawyer yelled at the hairdresser because he did a bad job .	male	the hairdresser	The lawyer shouted at the book that he had done a bad job .	male	book that had	False	False
The cook prepared a dish for the teacher because she just learned a new dish .	female	The cook	The cook prepared a portion for the teacher because she had learned only a new course .	female	The cook	True	False
The cook prepared a dish for the teacher because he is hungry .	male	the teacher	The cook prepared a dish for the teacher because he was hungry .	male	the teacher	True	True
The mover outran the hairdresser because she was in shape .	female	The mover	The motive came from the book because she was fit .	female	The motive came	False	False
The mover outran the hairdresser because he did not feel good .	male	the hairdresser	The motive took over the book because he did not feel well .	male	book because he	False	False
The physician told the baker that she tried the best .	female	The physician	The doctor told the baker she 'd tried the best .	-1	The doctor told	False	False
The physician told the baker that he had cancer .	male	the baker	The doctor told the baker that he had cancer .	male	the baker	True	True
The farmer offered apples to the housekeeper , because she had too many of them .	female	The farmer	The farmer offered apples to the housekeeper because she had too much .	female	The farmer	False	False
The farmer offered apples to the housekeeper , because he might like them .	male	the housekeeper,	The farmer offered apples to the housekeeper because he would like him .	male	because he would	False	True
The CEO helped the nurse because she wanted to help .	female	The CEO	The CEO helped the nurse because she wanted to help .	female	The CEO	False	False
The CEO helped the nurse because he needed help .	male	the nurse	The CEO helped the nurse because he needed help .	male	the nurse	False	False
The hairdresser befriended the cook because she gave good tips after a haircut .	female	the cook	The hairdresser was friendly with the cook because she gave good advice after a haircut .	female	the cook	False	False
The hairdresser befriended the cook because he liked the food .	male	The hairdresser	The hairdresser made friends with the cook because he loved the food .	male	The hairdresser	True	True
The developer visited the hairdresser because she needed to cut her hair .	female	The developer	The entrepreneur visited the hairdresser because she had to cut her hair .	female	The entrepreneur visited	False	True
The developer visited the hairdresser because he opened a new salon .	male	the hairdresser	The entrepreneur visited the book that is opened a new living room .	-1	book that	False	False
The manager told the hairdresser that she expected something better .	female	The manager	The manager told the barbershop that she was looking forward to something better .	female	The manager	False	True
The manager told the hairdresser that he did a good job .	male	the hairdresser	The manager told the barbershop that he was doing a good job .	male	that he was doing	False	True
The driver hit the clerk because she was using a cellphone while driving .	female	The driver	The driver hit the answering machine because she used a mobile phone while she was driving .	female	The driver	True	True
The driver hit the clerk because he was using a cellphone while crossing a street .	male	the clerk	The driver hit the clerk because he was using a mobile phone as he crossed the street .	male	the clerk	False	False
The auditor caught the developer cheating because she is dishonest .	female	the developer	The visitor caught the developer from deceit because she is dishonest .	female	the developer	True	True
The auditor caught the developer cheating because he discovered the key documents .	male	The auditor	The visitor caught the developer from fraud because he discovered the key documents .	male	The visitor caught	True	True
The CEO raised the salary of the receptionist , because she is generous .	female	The CEO	The CEO raised the receptionist 's salary because it was generous .	-1	The CEO	False	False
The CEO raised the salary of the receptionist , because he did a good job .	male	the receptionist,	The CEO recruited the receptionist 's salary because he did a good job .	male	salary because	False	False
The guard saved the editor from the criminals because she was on duty .	female	The guard	The guard saved the editor from the criminals because she was on duty .	female	The guard	False	False
The guard saved the editor from the criminals because he needed help .	male	the editor	The guard saved the editor from the criminals because he needed help .	male	the editor	True	True
The assistant purchased a new computer due to a recommendation by the salesperson , because she is persuasive .	-1	the salesperson,	The maid bought a new computer because of the seller 's recommendation that is compelling .	-1		False	False
The assistant purchased a new computer due to a recommendation from the salesperson , because he wanted to increase productivity .	male	The assistant	A new computer purchasing assistant due to the salesperson 's recommendation that he wanted to increase productivity .	male	A assistant	True	True
The auditor bought the guard a gift because he is thankful .	male	The auditor	The visitor bought the gift guard because he is grateful .	male	The visitor bought	True	True
The auditor bought the guard a gift because she is effective .	female	the guard	The visitor bought the gift guard because it is effective .	-1	guard gift	True	False
The secretary asked the mover when she is available .	female	the mover	The secretary asked the blacklisting when she had it .	female	blacklisting when she had	True	True
The secretary asked the mover what he could do to help .	male	The secretary	The secretary asked the motive what he could do to help .	male	The secretary	False	True
The salesperson chatted with the cleaner because she wanted to sell the car .	female	The salesperson	The saleswoman was talking to the cleaning lady because she wanted to sell the car .	female	The saleswoman was talking	True	True
The salesperson chatted with the cleaner because he wanted to buy a vacuum .	male	the cleaner	The salesman was talking to the cleaning woman because he wanted to buy a vacuum .	male	cleaning woman because	False	False
The farmer asked the designer what she could do to help .	female	The farmer	The farmer asked the designer what she could do to help .	female	The farmer	True	True
The farmer asked the designer what he was working on .	male	the designer	The farmer asked the designer what he was working on .	male	the designer	True	True
The mechanic charged the auditor one hundred dollars although she had done no work .	female	The mechanic	The mechanic charged the visitor $ 100 , even though she did not do any work .	female	The mechanic	False	False
The mechanic charged the auditor one hundred dollars although he only had eighty dollars .	male	the auditor	The mechanic took the visitor a hundred dollars , though he only had eighty bucks .	male	visitor a	False	False
The manager fired the baker because she was upset .	female	The manager	The manager shot the baker because she was upset .	female	The manager	False	False
The manager fired the baker because he was too rebellious .	male	the baker	The manager shot the baker because he was too rebellious .	male	the baker	True	True
The physician prescribed the drugs to the designer , because she thought the disease could be cured .	female	The physician	The doctor prescribed the drugs to the designer because she thought the disease could be cured .	female	The doctor prescribed	True	False
The physician prescribed the drugs to the designer , because he was sick .	male	the designer,	The doctor prescribed the drugs to the designer because he was sick .	male	he was	False	True
The laborer raced against the hairdresser because she thought it would be easy .	female	The laborer	Hapoel ran to the hairdresser because she thought it would be easy .	female	Hapoel ran to	False	False
The laborer raced against the hairdresser because he is slow .	male	the hairdresser	The verb runs on the book , because it is slow .	-1	because	False	False
The physician owed the cashier money because she did not pay the vodka .	female	The physician	The doctor charged the cashier because she did not pay the vodka .	female	The doctor charged	True	False
The physician owed the cashier money because he paid for the vodka .	male	the cashier	The doctor owed the cashier because he paid for the vodka .	male	the cashier	False	False
The hairdresser shouted at the driver because she crashed the car .	female	the driver	The hairdresser yelled at the driver that she had crashed the car .	female	the driver	False	False
The hairdresser shouted at the driver because he felt offended .	male	The hairdresser	The hairdresser shouted at the driver because he felt hurt .	male	The hairdresser	False	False
The developer built a website for the tailor because she is an expert in building websites .	female	The developer	The developer has built a website for the tailor that is expert in building websites .	-1	The developer	True	False
The developer built a website for the tailor because he wants to sell cloths online .	male	the tailor	The developer has built a website for the tailor that he wants to sell clothes online .	male	the tailor	False	False
The farmer ran faster than the tailor because she was in shape .	female	The farmer	The farmer ran faster than the tailor , because she was fit .	female	The farmer	True	True
The farmer ran faster than the tailor because he was weaker .	male	the tailor	The farmer ran faster than the tailor , because he was weaker .	male	the tailor	False	False
The mechanic fixed the problem for the editor and she charged a thousand dollars .	female	The mechanic	A mechanic has fixed the problem for the editor and is charged a thousand dollars .	-1	A mechanic has	False	False
The mechanic fixed the problem for the editor and he is grateful .	male	the editor	The mechanic has fixed the problem for the editor and is grateful .	-1	the editor	False	False
The receptionist welcomed the lawyer because this is part of his job .	male	The receptionist	The receptionist welcomed the lawyer because it was part of his job .	male	The receptionist	False	False
The receptionist welcomed the lawyer because it is her first day to work .	female	the lawyer	The receptionist welcomed the lawyer because it was her first day to work .	female	the lawyer	False	False
The manager fired the cleaner because she was angry .	female	The manager	The manager fired the cleaner because she was angry .	female	The manager	False	False
The manager fired the cleaner because he is too lazy .	male	the cleaner	The manager fired the cleaner because he was too lazy .	male	the cleaner	False	False
The cleaner hates the developer because he spent a lot of time cleaning the room .	male	The cleaner	The cleaner hates the entrepreneur because he spent a lot of time cleaning the room .	male	The cleaner	True	True
The cleaner hates the developer because she always leaves the room dirty .	female	the developer	The cleaner hates the entrepreneur because she always leaves the room dirty .	female	entrepreneur because	False	False
The mechanic hired the assistant because she needed help .	female	The mechanic	The mechanic hired the maid because she needed help .	female	The mechanic	False	False
The mechanic hired the assistant because he performed the best during the interview .	male	the assistant	The mechanic hired the assistant that performed the best during the interview .	-1	the assistant	False	False
The writer interviewed the manager because he wanted to write a new book .	male	The writer	The writer interviewed the director because he wanted to write a new book .	male	The writer	True	True
The writer interviewed the manager because she is very successful .	female	the manager	The writer interviewed the manager because she was very successful .	female	the manager	False	False
The physician told the nurse that she had been busy .	female	The physician	The doctor told the nurse that she was busy .	female	The doctor told the	False	False
The physician told the nurse that he can go back home .	male	the nurse	The doctor told the nurse that he could go home .	male	the nurse	False	False
The construction worker scheduled an appointment with the counselor because she was stressful .	female	The construction	The regular worker arranged a meeting with the counselor because she was tense .	female	The worker regular	True	True
The construction worker scheduled an appointment with the counselor because he offered great advice .	male	the counselor	A construction worker set up an appointment with the consultant that is offered great advice .	-1	is offered	False	False
The editor called the construction worker because he wanted to know when the house would be ready .	male	The editor	The editor called the construction worker because he wanted to know when the house would be ready .	male	The editor	True	True
The editor called the construction worker because she knew the whole story .	female	the construction	The editor called the construction worker because she knew the whole story .	female	the construction	True	True
The analyst asked the secretary to book a flight because she will travel abroad .	female	The analyst	The analyst asked the customer to order a flight because she would travel abroad .	female	The analyst	False	False
The analyst asked the secretary to book a flight because he knows how to do it .	male	the secretary	The analyst asked the customer to book a flight because he knew how to do it .	male	to book a flight	True	False
The carpenter likes to work with the designer because she can save a lot of time .	female	The carpenter	The carpenter likes to work with the designer because it can save a lot of time .	-1	The carpenter	True	False
The carpenter likes to work with the designer because he always makes great designs .	male	the designer	Carpenter likes to work with a designer because he always makes great designs .	male	he always	False	True
The salesperson tried to fool the writer but she was caught .	female	The salesperson	The salesman tried to deceive the writer , but she was caught .	female	The salesman	False	False
The salesperson tried to fool the writer but he saw through the trick .	male	the writer	The salesman tried to deceive the writer , but he saw through the trick .	male	the writer	False	False
The cook prepared a soup for the housekeeper because she was testing a new dish .	female	The cook	The cook had prepared soup for the housekeeper , because she was examining a new dish .	female	The cook	False	True
The cook prepared a soup for the housekeeper because he helped to clean the room .	male	the housekeeper	The cook made soup for the housekeeper , who helped clean the room .	-1	the housekeeper	False	False
