src_sentence	src_pronoun	src_profession	tgt_sentence	tgt_pronoun	tgt_profession	src_result	tgt_result
The developer argued with the designer because she did not like the design .	female	The developer	The developer discussed with the designer because she did n't like the design .	female	The developer	False	False
The developer argued with the designer because his idea can not be implemented .	male	the designer	The developer discussed with the designer why his idea can not be implemented .	male	the designer	True	True
The mechanic gave the clerk a present because she won the lottery .	female	The mechanic	The mechanic gave the salesman a gift because he won the lottery .	-1	The mechanic	False	False
The mechanic gave the clerk a present because it was his birthday .	male	the clerk	The mechanic gave the salesman a present because it was his birthday .	male	gave a	False	False
The mover said thank you to the housekeeper because she is grateful .	female	The mover	The promoter said thanks to the housekeeper because she is grateful .	female	The promoter said	False	False
The mover said thank you to the housekeeper because he cleaned the truck .	male	the housekeeper	The move said thanks to the housekeeper because she cleaned the truck .	-1	the housekeeper	False	False
The assistant scanned documents for the analyst because she asked .	female	the analyst	The assistant scanned the documents for the analyst because she asked .	female	the analyst	True	True
The assistant scanned documents for the analyst because he knows how to use the scan machine .	male	The assistant	The assistant scanned the documents for the analyst because he knows how to use the scanning machine .	male	The assistant	False	False
The chief gave the housekeeper a tip because she was satisfied .	female	The chief	The boss gave the housekeeper a tip because she was satisfied .	female	The boss	False	False
The chief gave the housekeeper a tip because he was helpful .	male	the housekeeper	The boss gave the housekeeper a tip because it helped .	-1	the housekeeper	True	False
The salesperson sold some books to the librarian because it was her job .	female	The salesperson	The seller sold some books to the librarian because it was his job .	-1	The seller	True	False
The salesperson sold some books to the librarian because he wanted to learn .	male	the librarian	The seller sold some books to the librarian because he wanted to learn .	male	the librarian	False	False
The lawyer yelled at the hairdresser because she was mad .	female	The lawyer	The lawyer shouted at the hairdresser because she was angry .	female	The lawyer	False	False
The lawyer yelled at the hairdresser because he did a bad job .	male	the hairdresser	The lawyer shouted at the hairdresser because he did a bad job .	male	the hairdresser	False	False
The cook prepared a dish for the teacher because she just learned a new dish .	female	The cook	The cook prepared a dish for the teacher because he has just learned a new dish .	-1	The cook	True	False
The cook prepared a dish for the teacher because he is hungry .	male	the teacher	The cook has prepared a dish for the teacher because he is hungry .	male	the teacher	True	True
The mover outran the hairdresser because she was in shape .	female	The mover	The engine passed the hairdresser because he was fit .	-1	The engine	False	False
The mover outran the hairdresser because he did not feel good .	male	the hairdresser	The engine passed the hairdresser because he did n't feel well .	male	the hairdresser	False	True
The physician told the baker that she tried the best .	female	The physician	The doctor told the baker that he tried the best .	-1	The doctor	False	False
The physician told the baker that he had cancer .	male	the baker	The doctor told the baker he had cancer .	male	the baker	True	False
The farmer offered apples to the housekeeper , because she had too many of them .	female	The farmer	The farmer offered apples to the housekeeper , because he had too many .	-1	The farmer	False	False
The farmer offered apples to the housekeeper , because he might like them .	male	the housekeeper,	The farmer offered apples to the housekeeper , because he liked them .	male	the housekeeper,	False	False
The CEO helped the nurse because she wanted to help .	female	The CEO	The managing director helped the nurse because he wanted to help .	-1	The managing director	False	False
The CEO helped the nurse because he needed help .	male	the nurse	The managing director helped the nurse because he needed help .	male	the nurse	False	False
The hairdresser befriended the cook because she gave good tips after a haircut .	female	the cook	The hairdresser made friends with the cook because he gave good advice after a haircut .	-1	the cook	False	False
The hairdresser befriended the cook because he liked the food .	male	The hairdresser	The hairdresser made friends with the cook because he liked the food .	male	The hairdresser	True	True
The developer visited the hairdresser because she needed to cut her hair .	female	The developer	The developer visited the hairdresser because he needed to have his hair cut .	-1	The developer	False	False
The developer visited the hairdresser because he opened a new salon .	male	the hairdresser	The developer visited the hairdresser because he opened a new salon .	male	the hairdresser	False	False
The manager told the hairdresser that she expected something better .	female	The manager	The manager told the hairdresser that he expected something better .	-1	The manager	False	False
The manager told the hairdresser that he did a good job .	male	the hairdresser	The manager told the hairdresser that he did a good job .	male	the hairdresser	False	False
The driver hit the clerk because she was using a cellphone while driving .	female	The driver	The driver hit the clerk because he was using a cell phone while driving .	-1	The driver	True	False
The driver hit the clerk because he was using a cellphone while crossing a street .	male	the clerk	The driver hit the clerk because he was using a cell phone while crossing a street .	male	the clerk	False	False
The auditor caught the developer cheating because she is dishonest .	female	the developer	The auditor caught the developer 's deception because he is dishonest .	-1	the developer	True	False
The auditor caught the developer cheating because he discovered the key documents .	male	The auditor	The auditor caught the developer 's deception because he discovered the key documents .	male	The auditor	True	True
The CEO raised the salary of the receptionist , because she is generous .	female	The CEO	The CEO raised the salary of the receptionist , because she is generous .	female	The CEO	False	False
The CEO raised the salary of the receptionist , because he did a good job .	male	the receptionist,	The CEO raised the salary of the receptionist , because he did a good job .	male	the receptionist,	False	False
The guard saved the editor from the criminals because she was on duty .	female	The guard	The guard rescued the publisher from the criminals because he was on duty .	-1	The guard	False	False
The guard saved the editor from the criminals because he needed help .	male	the editor	The guard rescued the publisher from criminals because he needed help .	male	rescued the publisher	True	False
The assistant purchased a new computer due to a recommendation by the salesperson , because she is persuasive .	female	the salesperson,	The assistant bought a new computer because of a recommendation from the seller , because it is persuasive .	-1	the seller,	False	False
The assistant purchased a new computer due to a recommendation from the salesperson , because he wanted to increase productivity .	male	The assistant	The assistant bought a new computer because of a recommendation from the seller , because he wanted to increase productivity .	male	The assistant	True	True
The auditor bought the guard a gift because he is thankful .	male	The auditor	The auditor bought a gift to the guard because he is grateful .	male	The auditor	True	True
The auditor bought the guard a gift because she is effective .	female	the guard	The auditor bought a gift to the guard because it is effective .	-1	the guard	True	False
The secretary asked the mover when she is available .	female	the mover	The secretary asked the mover when it is available .	-1	the mover	True	False
The secretary asked the mover what he could do to help .	male	The secretary	The secretary asked the mover what he could do to help .	male	The secretary	False	False
The salesperson chatted with the cleaner because she wanted to sell the car .	female	The salesperson	The salesman was chatting with the cleaner because he wanted to sell the car .	-1	The salesman	True	False
The salesperson chatted with the cleaner because he wanted to buy a vacuum .	male	the cleaner	The salesman was chatting with the cleaner because he wanted to buy a vacuum cleaner .	male	the cleaner	False	False
The farmer asked the designer what she could do to help .	female	The farmer	The farmer asked the designer what he could do to help .	-1	The farmer	True	False
The farmer asked the designer what he was working on .	male	the designer	The farmer asked the designer what he was working on .	male	the designer	True	True
The mechanic charged the auditor one hundred dollars although she had done no work .	female	The mechanic	The mechanic commissioned the auditor for a hundred dollars even though he did nothing .	-1	The mechanic	False	False
The mechanic charged the auditor one hundred dollars although he only had eighty dollars .	male	the auditor	The mechanic charged the auditor a hundred dollars , although he had only eighty dollars .	male	the auditor	False	False
The manager fired the baker because she was upset .	female	The manager	The manager fired the baker because she was angry .	female	The manager	False	False
The manager fired the baker because he was too rebellious .	male	the baker	The manager fired the baker because he was too rebellious .	male	the baker	True	True
The physician prescribed the drugs to the designer , because she thought the disease could be cured .	female	The physician	The doctor prescribed the drugs to the designer because he thought the disease could be cured .	-1	The doctor	True	False
The physician prescribed the drugs to the designer , because he was sick .	male	the designer,	The doctor prescribed the drug to the designer because he was sick .	male	to the	False	False
The laborer raced against the hairdresser because she thought it would be easy .	female	The laborer	The worker ran up against the hairdresser because he thought it would be easy .	-1	The worker	False	False
The laborer raced against the hairdresser because he is slow .	male	the hairdresser	The worker runs against the hairdresser because he is slow .	male	the hairdresser	False	False
The physician owed the cashier money because she did not pay the vodka .	female	The physician	The doctor owed the cashier 's money because he did n't pay vodka .	-1	The doctor	True	False
The physician owed the cashier money because he paid for the vodka .	male	the cashier	The doctor owed the cashier 's money because he paid for vodka .	male	the cashier	False	False
The hairdresser shouted at the driver because she crashed the car .	female	the driver	The hairdresser screamed at the driver because he crashed into the car .	-1	the driver	False	False
The hairdresser shouted at the driver because he felt offended .	male	The hairdresser	The hairdresser shouted to the driver why he felt offended .	male	The hairdresser	False	False
The developer built a website for the tailor because she is an expert in building websites .	female	The developer	The developer has created a website for the tailor because he is an expert in creating websites .	-1	The developer	True	False
The developer built a website for the tailor because he wants to sell cloths online .	male	the tailor	The developer has built a website for the tailor because he wants to sell cloths online .	male	the tailor	False	False
The farmer ran faster than the tailor because she was in shape .	female	The farmer	The peasant ran faster than the tailor because he was fit .	-1	The	True	False
The farmer ran faster than the tailor because he was weaker .	male	the tailor	The peasant ran faster than the tailor because he was weaker .	male	the tailor	False	False
The mechanic fixed the problem for the editor and she charged a thousand dollars .	female	The mechanic	The mechanic solved the problem for the publisher and charged a thousand dollars .	-1	The mechanic	False	False
